Month,green computing: (Worldwide)
2010-01,31
2010-02,36
2010-03,45
2010-04,39
2010-05,30
2010-06,30
2010-07,27
2010-08,36
2010-09,43
2010-10,44
2010-11,33
2010-12,26
2011-01,38
2011-02,50
2011-03,42
2011-04,39
2011-05,31
2011-06,37
2011-07,35
2011-08,42
2011-09,51
2011-10,43
2011-11,41
2011-12,29
2012-01,36
2012-02,42
2012-03,44
2012-04,35
2012-05,27
2012-06,28
2012-07,43
2012-08,73
2012-09,90
2012-10,100
2012-11,53
2012-12,28
2013-01,36
2013-02,47
2013-03,41
2013-04,33
2013-05,24
2013-06,22
2013-07,32
2013-08,35
2013-09,41
2013-10,37
2013-11,28
2013-12,25
2014-01,32
2014-02,39
2014-03,36
2014-04,27
2014-05,21
2014-06,20
2014-07,25
2014-08,32
2014-09,39
2014-10,31
2014-11,30
2014-12,20
2015-01,25
2015-02,34
2015-03,28
2015-04,22
2015-05,17
2015-06,18
2015-07,17
2015-08,20
2015-09,31
2015-10,33
2015-11,23
2015-12,19
2016-01,17
2016-02,28
2016-03,30
2016-04,24
2016-05,20
2016-06,16
2016-07,17
2016-08,20
2016-09,26
2016-10,22
2016-11,22
2016-12,20
2017-01,26
2017-02,30
2017-03,31
2017-04,24
2017-05,16
2017-06,12
2017-07,14
2017-08,15
2017-09,22
2017-10,23
2017-11,21
2017-12,18
2018-01,22
2018-02,27
2018-03,24
2018-04,20
2018-05,15
2018-06,13
2018-07,14
2018-08,15
2018-09,21
2018-10,23
2018-11,16
2018-12,15
2019-01,20
2019-02,22
2019-03,23
2019-04,18
2019-05,13
2019-06,12
2019-07,14
2019-08,14
2019-09,24
2019-10,21
2019-11,18
2019-12,17
2020-01,20
2020-02,23
2020-03,19
2020-04,13
2020-05,12
2020-06,13
2020-07,10
2020-08,13
2020-09,22
2020-10,20
2020-11,17
2020-12,13
2021-01,17
2021-02,20
2021-03,24
2021-04,24
2021-05,17
2021-06,16
2021-07,16
2021-08,13
2021-09,18
2021-10,26
2021-11,24
2021-12,18
2022-01,27
2022-02,36
2022-03,39
2022-04,39
2022-05,31
2022-06,29
2022-07,22
2022-08,21
2022-09,30
2022-10,29
2022-11,31
2022-12,30
2023-01,28
2023-02,36
2023-03,34
2023-04,26
2023-05,33
2023-06,21
2023-07,18
2023-08,19
2023-09,26
2023-10,24
2023-11,24
2023-12,23
2024-01,20
