Month,green it: (Worldwide)
2010-01,42
2010-02,42
2010-03,47
2010-04,46
2010-05,46
2010-06,45
2010-07,46
2010-08,46
2010-09,51
2010-10,52
2010-11,53
2010-12,48
2011-01,55
2011-02,57
2011-03,53
2011-04,52
2011-05,51
2011-06,52
2011-07,49
2011-08,48
2011-09,59
2011-10,65
2011-11,71
2011-12,64
2012-01,65
2012-02,58
2012-03,58
2012-04,55
2012-05,58
2012-06,57
2012-07,60
2012-08,56
2012-09,59
2012-10,55
2012-11,53
2012-12,50
2013-01,54
2013-02,54
2013-03,57
2013-04,55
2013-05,58
2013-06,59
2013-07,60
2013-08,54
2013-09,54
2013-10,53
2013-11,52
2013-12,50
2014-01,57
2014-02,55
2014-03,56
2014-04,59
2014-05,58
2014-06,57
2014-07,58
2014-08,54
2014-09,53
2014-10,54
2014-11,53
2014-12,54
2015-01,54
2015-02,53
2015-03,59
2015-04,58
2015-05,56
2015-06,58
2015-07,60
2015-08,56
2015-09,57
2015-10,57
2015-11,56
2015-12,56
2016-01,54
2016-02,54
2016-03,57
2016-04,58
2016-05,59
2016-06,56
2016-07,56
2016-08,51
2016-09,53
2016-10,54
2016-11,55
2016-12,52
2017-01,57
2017-02,58
2017-03,62
2017-04,60
2017-05,59
2017-06,57
2017-07,59
2017-08,56
2017-09,67
2017-10,62
2017-11,57
2017-12,53
2018-01,56
2018-02,56
2018-03,58
2018-04,59
2018-05,57
2018-06,57
2018-07,58
2018-08,55
2018-09,56
2018-10,57
2018-11,57
2018-12,56
2019-01,61
2019-02,68
2019-03,74
2019-04,58
2019-05,59
2019-06,60
2019-07,58
2019-08,58
2019-09,63
2019-10,65
2019-11,62
2019-12,61
2020-01,61
2020-02,65
2020-03,61
2020-04,75
2020-05,80
2020-06,74
2020-07,70
2020-08,74
2020-09,77
2020-10,75
2020-11,70
2020-12,71
2021-01,69
2021-02,72
2021-03,79
2021-04,73
2021-05,81
2021-06,84
2021-07,85
2021-08,83
2021-09,82
2021-10,83
2021-11,81
2021-12,76
2022-01,92
2022-02,95
2022-03,99
2022-04,100
2022-05,99
2022-06,95
2022-07,95
2022-08,86
2022-09,90
2022-10,87
2022-11,83
2022-12,83
2023-01,91
2023-02,94
2023-03,93
2023-04,93
2023-05,91
2023-06,91
2023-07,80
2023-08,81
2023-09,84
2023-10,88
2023-11,85
2023-12,82
2024-01,90
