Month,green software: (Worldwide)
2010-01,100
2010-02,94
2010-03,92
2010-04,85
2010-05,84
2010-06,86
2010-07,81
2010-08,82
2010-09,80
2010-10,82
2010-11,82
2010-12,82
2011-01,88
2011-02,86
2011-03,89
2011-04,81
2011-05,77
2011-06,80
2011-07,77
2011-08,81
2011-09,79
2011-10,81
2011-11,79
2011-12,81
2012-01,84
2012-02,74
2012-03,73
2012-04,70
2012-05,66
2012-06,66
2012-07,69
2012-08,76
2012-09,74
2012-10,68
2012-11,63
2012-12,67
2013-01,60
2013-02,63
2013-03,63
2013-04,57
2013-05,57
2013-06,58
2013-07,55
2013-08,55
2013-09,56
2013-10,56
2013-11,55
2013-12,54
2014-01,60
2014-02,58
2014-03,59
2014-04,51
2014-05,50
2014-06,45
2014-07,47
2014-08,52
2014-09,49
2014-10,51
2014-11,53
2014-12,52
2015-01,52
2015-02,50
2015-03,52
2015-04,51
2015-05,46
2015-06,47
2015-07,44
2015-08,46
2015-09,46
2015-10,45
2015-11,46
2015-12,45
2016-01,43
2016-02,44
2016-03,43
2016-04,44
2016-05,45
2016-06,37
2016-07,38
2016-08,37
2016-09,38
2016-10,39
2016-11,40
2016-12,39
2017-01,44
2017-02,44
2017-03,42
2017-04,42
2017-05,41
2017-06,34
2017-07,36
2017-08,36
2017-09,40
2017-10,43
2017-11,39
2017-12,41
2018-01,39
2018-02,43
2018-03,38
2018-04,33
2018-05,36
2018-06,33
2018-07,38
2018-08,35
2018-09,33
2018-10,36
2018-11,31
2018-12,28
2019-01,31
2019-02,35
2019-03,30
2019-04,30
2019-05,31
2019-06,32
2019-07,31
2019-08,30
2019-09,35
2019-10,35
2019-11,32
2019-12,33
2020-01,34
2020-02,34
2020-03,33
2020-04,41
2020-05,37
2020-06,37
2020-07,36
2020-08,34
2020-09,39
2020-10,35
2020-11,33
2020-12,34
2021-01,33
2021-02,31
2021-03,29
2021-04,28
2021-05,31
2021-06,30
2021-07,30
2021-08,28
2021-09,33
2021-10,36
2021-11,38
2021-12,42
2022-01,63
2022-02,56
2022-03,51
2022-04,51
2022-05,45
2022-06,42
2022-07,42
2022-08,44
2022-09,42
2022-10,39
2022-11,40
2022-12,39
2023-01,43
2023-02,48
2023-03,43
2023-04,39
2023-05,39
2023-06,40
2023-07,40
2023-08,41
2023-09,41
2023-10,40
2023-11,42
2023-12,42
2024-01,47
