Month,sustainable computing: (Worldwide)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,23
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,23
2011-11,0
2011-12,0
2012-01,16
2012-02,16
2012-03,14
2012-04,0
2012-05,14
2012-06,0
2012-07,0
2012-08,0
2012-09,23
2012-10,0
2012-11,0
2012-12,0
2013-01,11
2013-02,18
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,18
2013-11,0
2013-12,16
2014-01,11
2014-02,13
2014-03,18
2014-04,17
2014-05,0
2014-06,12
2014-07,0
2014-08,0
2014-09,22
2014-10,15
2014-11,23
2014-12,14
2015-01,10
2015-02,11
2015-03,13
2015-04,10
2015-05,13
2015-06,0
2015-07,11
2015-08,0
2015-09,14
2015-10,15
2015-11,21
2015-12,12
2016-01,10
2016-02,17
2016-03,17
2016-04,10
2016-05,0
2016-06,11
2016-07,0
2016-08,0
2016-09,12
2016-10,20
2016-11,12
2016-12,9
2017-01,20
2017-02,20
2017-03,24
2017-04,13
2017-05,12
2017-06,12
2017-07,9
2017-08,15
2017-09,0
2017-10,19
2017-11,38
2017-12,17
2018-01,19
2018-02,10
2018-03,25
2018-04,14
2018-05,15
2018-06,11
2018-07,9
2018-08,7
2018-09,15
2018-10,16
2018-11,13
2018-12,12
2019-01,15
2019-02,18
2019-03,18
2019-04,12
2019-05,12
2019-06,13
2019-07,10
2019-08,15
2019-09,14
2019-10,18
2019-11,16
2019-12,14
2020-01,15
2020-02,26
2020-03,22
2020-04,15
2020-05,9
2020-06,14
2020-07,23
2020-08,18
2020-09,26
2020-10,21
2020-11,15
2020-12,15
2021-01,18
2021-02,25
2021-03,20
2021-04,21
2021-05,13
2021-06,18
2021-07,19
2021-08,16
2021-09,45
2021-10,60
2021-11,53
2021-12,38
2022-01,58
2022-02,69
2022-03,59
2022-04,55
2022-05,51
2022-06,38
2022-07,100
2022-08,80
2022-09,67
2022-10,54
2022-11,67
2022-12,56
2023-01,54
2023-02,75
2023-03,57
2023-04,53
2023-05,48
2023-06,51
2023-07,47
2023-08,47
2023-09,56
2023-10,48
2023-11,46
2023-12,41
2024-01,44
